iter	Passed	Remaining
784	11903	3260
785	11918	3245
786	11934	3230
787	11948	3214
788	11963	3199
789	11977	3183
790	11992	3168
791	12007	3153
792	12022	3138
793	12036	3122
794	12049	3107
795	12063	3091
796	12079	3076
797	12095	3061
798	12110	3046
799	12125	3031
800	12140	3016
801	12154	3000
802	12169	2985
803	12185	2970
804	12201	2955
805	12218	2940
806	12234	2925
807	12249	2910
808	12265	2895
809	12282	2881
810	12298	2866
811	12312	2850
812	12327	2835
813	12342	2820
814	12357	2805
815	12371	2789
816	12386	2774
817	12401	2759
818	12416	2744
819	12431	2728
820	12445	2713
821	12460	2698
822	12476	2683
823	12491	2668
824	12505	2652
825	12520	2637
826	12535	2622
827	12549	2606
828	12564	2591
829	12579	2576
830	12594	2561
831	12610	2546
832	12624	2530
833	12638	2515
834	12653	2500
835	12670	2485
836	12685	2470
837	12700	2455
838	12716	2440
839	12732	2425
840	12747	2410
841	12761	2394
842	12777	2379
843	12793	2364
844	12809	2349
845	12825	2334
846	12840	2319
847	12856	2304
848	12871	2289
849	12887	2274
850	12901	2258
851	12915	2243
852	12929	2228
853	12943	2212
854	12956	2197
855	12969	2181
856	12984	2166
857	12998	2151
858	13012	2135
859	13026	2120
860	13040	2105
861	13055	2090
862	13068	2074
863	13083	2059
864	13098	2044
865	13113	2029
866	13127	2013
867	13141	1998
868	13154	1983
869	13168	1967
870	13182	1952
871	13197	1937
872	13211	1922
873	13225	1906
874	13239	1891
875	13252	1875
876	13266	1860
877	13281	1845
878	13296	1830
879	13311	1815
880	13327	1800
881	13341	1784
882	13356	1769
883	13369	1754
884	13384	1739
885	13398	1724
886	13414	1708
887	13428	1693
888	13443	1678
889	13457	1663
890	13471	1648
891	13485	1632
892	13500	1617
893	13514	1602
894	13528	1587
895	13542	1571
896	13556	1556
897	13569	1541
898	13582	1525
899	13595	1510
900	13610	1495
901	13623	1480
902	13638	1465
903	13651	1449
904	13665	1434
905	13680	1419
906	13693	1404
907	13706	1388
908	13720	1373
909	13735	1358
910	13750	1343
911	13764	1328
912	13778	1312
913	13791	1297
914	13804	1282
915	13819	1267
916	13834	1252
